"actor_id","actor_name","total_amount"
107,"Gina Degeneres","3129.17"
181,"Matthew Carrey","2543.78"
198,"Mary Keitel","2426.92"
81,"Scarlett Damon","2403.81"
102,"Walter Torn","2403.18"
60,"Henry Berry","2392.36"
58,"Christian Akroyd","2378.97"
144,"Angela Witherspoon","2357.11"
111,"Cameron Zellweger","2322.94"
28,"Woody Hoffman","2315.92"
23,"Sandra Kilmer","2271.44"
83,"Ben Willis","2239.97"
150,"Jayne Nolte","2231.33"
185,"Michael Bolger","2201.97"
90,"Sean Guiness","2173.61"
127,"Kevin Garland","2161.90"
140,"Whoopi Hurt","2156.16"
136,"Ed Mansfield","2146.56"
17,"Helen Voight","2144.92"
27,"Julia Mcqueen","2129.02"
65,"Angela Hudson","2124.84"
117,"Renee Tracy","2113.03"
21,"Kirsten Paltrow","2111.95"
139,"Ewan Gooding","2111.79"
13,"Uma Wood","2087.15"
45,"Reese Kilmer","2075.97"
197,"Reese West","2074.00"
142,"Jada Ryder","2073.01"
26,"Rip Crawford","2068.34"
37,"Val Bolger","2066.38"
108,"Warren Nolte","2064.90"
92,"Kirsten Akroyd","2056.71"
14,"Vivien Bergen","2051.21"
66,"Mary Tandy","2046.00"
94,"Kenneth Torn","2043.11"
42,"Tom Miranda","2041.51"
191,"Gregory Gooding","2029.25"
158,"Vivien Basinger","2025.13"
146,"Albert Johansson","2022.24"
125,"Albert Nolte","2021.21"
101,"Susan Davis","2017.33"
41,"Jodie Degeneres","2009.45"
151,"Geoffrey Heston","1995.80"
147,"Fay Winslet","1987.16"
192,"John Suvari","1965.79"
105,"Sidney Crowe","1964.95"
74,"Milla Keitel","1963.08"
106,"Groucho Dunst","1918.50"
82,"Woody Jolie","1910.72"
119,"Warren Jackman","1900.32"
7,"Grace Mostel","1892.57"
53,"Mena Temple","1883.17"
168,"Will Wilson","1879.62"
50,"Natalie Hopkins","1878.19"
187,"Renee Ball","1875.47"
184,"Humphrey Garland","1866.22"
59,"Dustin Tautou","1855.72"
112,"Russell Bacall","1854.98"
130,"Greta Keitel","1845.53"
84,"James Pitt","1844.31"
39,"Goldie Brody","1842.84"
5,"Johnny Lollobrigida","1813.54"
177,"Gene Mckellen","1810.94"
179,"Ed Guiness","1810.26"
64,"Ray Johansson","1808.82"
29,"Alec Wayne","1802.44"
48,"Frances Day-Lewis","1794.72"
103,"Matthew Leigh","1791.29"
145,"Kim Allen","1787.52"
188,"Rock Dukakis","1783.69"
95,"Daryl Wahlberg","1772.71"
57,"Jude Cruise","1771.45"
56,"Dan Harris","1770.80"
196,"Bela Walken","1766.86"
76,"Angelina Astaire","1755.53"
62,"Jayne Neeson","1749.48"
157,"Greta Malden","1748.61"
33,"Milla Peck","1746.10"
143,"River Dean","1740.72"
155,"Ian Tandy","1723.38"
113,"Morgan Hopkins","1705.44"
78,"Groucho Sinatra","1703.79"
34,"Audrey Olivier","1700.38"
166,"Nick Degeneres","1693.65"
175,"William Hackman","1692.31"
137,"Morgan Williams","1689.94"
80,"Ralph Cruz","1686.82"
169,"Kenneth Hoffman","1678.81"
149,"Russell Temple","1676.71"
47,"Julia Barrymore","1676.22"
20,"Lucille Tracy","1674.23"
171,"Olympia Pfeiffer","1673.73"
173,"Alan Dreyfuss","1671.75"
68,"Rip Winslet","1671.35"
40,"Johnny Cage","1660.63"
12,"Karl Berry","1660.43"
104,"Penelope Cronyn","1655.86"
49,"Anne Cronyn","1654.25"
15,"Cuba Olivier","1652.73"
123,"Julianne Dench","1652.45"
129,"Daryl Crawford","1645.50"
36,"Burt Dukakis","1643.89"
72,"Sean Williams","1638.22"
54,"Penelope Pinkett","1630.84"
161,"Harvey Hope","1626.43"
154,"Meryl Gibson","1625.91"
70,"Michelle Mcconaughey","1614.56"
51,"Gary Phoenix","1612.98"
133,"Richard Penn","1612.74"
98,"Chris Bridges","1611.65"
176,"Jon Chase","1609.10"
138,"Lucille Dee","1608.61"
120,"Penelope Monroe","1608.03"
115,"Harrison Bale","1606.35"
86,"Greg Chaplin","1603.23"
128,"Cate Mcqueen","1602.84"
121,"Liza Bergman","1595.59"
195,"Jayne Silverstone","1592.87"
44,"Nick Stallone","1590.79"
93,"Ellen Presley","1590.43"
134,"Gene Hopkins","1586.79"
163,"Christopher West","1585.56"
124,"Scarlett Bening","1582.67"
67,"Jessica Bailey","1582.34"
73,"Gary Penn","1582.12"
16,"Fred Costner","1581.38"
96,"Gene Willis","1576.59"
75,"Burt Posey","1576.20"
194,"Meryl Allen","1571.54"
172,"Groucho Williams","1563.40"
122,"Salma Nolte","1555.18"
97,"Meg Hawke","1554.17"
43,"Kirk Jovovich","1545.69"
118,"Cuba Allen","1526.48"
85,"Minnie Zellweger","1507.24"
114,"Morgan Mcdormand","1499.40"
22,"Elvis Marx","1497.27"
55,"Fay Kilmer","1489.92"
52,"Carmen Hunt","1486.26"
126,"Frances Tomei","1485.54"
193,"Burt Temple","1484.95"
167,"Laurence Bullock","1480.99"
164,"Humphrey Willis","1456.40"
89,"Charlize Dench","1452.95"
2,"Nick Wahlberg","1441.51"
152,"Ben Harris","1432.17"
87,"Spencer Peck","1427.04"
8,"Matthew Johansson","1416.13"
100,"Spencer Depp","1413.73"
46,"Parker Goldberg","1411.79"
61,"Christian Neeson","1410.59"
11,"Zero Cage","1406.40"
25,"Kevin Bloom","1402.72"
165,"Al Garland","1401.22"
10,"Christian Gable","1393.74"
182,"Debbie Akroyd","1390.55"
109,"Sylvester Dern","1386.52"
131,"Jane Jackman","1382.29"
19,"Bob Fawcett","1375.94"
132,"Adam Hopper","1365.61"
38,"Tom Mckellen","1351.60"
162,"Oprah Kilmer","1344.68"
159,"Laura Brody","1342.60"
200,"Thora Temple","1337.85"
135,"Rita Reynolds","1334.26"
160,"Chris Depp","1326.39"
18,"Dan Torn","1322.19"
79,"Mae Hoffman","1314.20"
116,"Dan Streep","1313.24"
99,"Jim Mostel","1307.41"
156,"Fay Wood","1304.58"
32,"Tim Hackman","1296.08"
170,"Mena Hopper","1295.68"
174,"Michael Bening","1295.42"
69,"Kenneth Paltrow","1293.84"
153,"Minnie Kilmer","1291.36"
178,"Lisa Monroe","1288.70"
6,"Bette Nicholson","1274.48"
9,"Joe Swank","1273.52"
24,"Cameron Streep","1270.18"
189,"Cuba Birch","1251.70"
190,"Audrey Bailey","1248.00"
141,"Cate Harris","1243.76"
91,"Christopher Berry","1223.68"
63,"Cameron Wray","1208.27"
3,"Ed Chase","1202.18"
180,"Jeff Silverstone","1198.97"
77,"Cary Mcconaughey","1191.89"
110,"Susan Davis","1176.16"
88,"Kenneth Pesci","1160.31"
1,"Penelope Guiness","1111.20"
183,"Russell Close","1096.41"
199,"Julia Fawcett","1066.67"
4,"Jennifer Davis","967.49"
186,"Julia Zellweger","963.00"
30,"Sandra Peck","952.36"
35,"Judy Dean","904.70"
71,"Adam Grant","869.46"
31,"Sissy Sobieski","830.84"
148,"Emily Dee","812.04"
