"actor_id","first_name","last_name","rental_count"
107,"Gina","Degeneres","753"
181,"Matthew","Carrey","678"
198,"Mary","Keitel","674"
144,"Angela","Witherspoon","654"
102,"Walter","Torn","640"
60,"Henry","Berry","612"
150,"Jayne","Nolte","611"
37,"Val","Bolger","605"
23,"Sandra","Kilmer","604"
90,"Sean","Guiness","599"
65,"Angela","Hudson","574"
81,"Scarlett","Damon","572"
139,"Ewan","Gooding","571"
127,"Kevin","Garland","565"
108,"Warren","Nolte","564"
111,"Cameron","Zellweger","560"
142,"Jada","Ryder","560"
28,"Woody","Hoffman","560"
105,"Sidney","Crowe","557"
17,"Helen","Voight","557"
197,"Reese","West","553"
185,"Michael","Bolger","553"
58,"Christian","Akroyd","552"
83,"Ben","Willis","551"
27,"Julia","Mcqueen","549"
45,"Reese","Kilmer","548"
117,"Renee","Tracy","546"
147,"Fay","Winslet","543"
13,"Uma","Wood","537"
66,"Mary","Tandy","535"
50,"Natalie","Hopkins","534"
94,"Kenneth","Torn","532"
158,"Vivien","Basinger","529"
14,"Vivien","Bergen","527"
140,"Whoopi","Hurt","527"
125,"Albert","Nolte","524"
191,"Gregory","Gooding","523"
103,"Matthew","Leigh","523"
53,"Mena","Temple","523"
146,"Albert","Johansson","521"
179,"Ed","Guiness","521"
20,"Lucille","Tracy","516"
84,"James","Pitt","516"
26,"Rip","Crawford","513"
129,"Daryl","Crawford","511"
119,"Warren","Jackman","511"
155,"Ian","Tandy","509"
123,"Julianne","Dench","507"
101,"Susan","Davis","505"
62,"Jayne","Neeson","504"
161,"Harvey","Hope","504"
187,"Renee","Ball","499"
57,"Jude","Cruise","498"
12,"Karl","Berry","497"
5,"Johnny","Lollobrigida","496"
42,"Tom","Miranda","496"
113,"Morgan","Hopkins","494"
41,"Jodie","Degeneres","493"
106,"Groucho","Dunst","492"
76,"Angelina","Astaire","492"
29,"Alec","Wayne","492"
48,"Frances","Day-Lewis","486"
145,"Kim","Allen","486"
40,"Johnny","Cage","482"
130,"Greta","Keitel","482"
168,"Will","Wilson","480"
7,"Grace","Mostel","479"
44,"Nick","Stallone","479"
136,"Ed","Mansfield","478"
157,"Greta","Malden","478"
143,"River","Dean","476"
171,"Olympia","Pfeiffer","475"
59,"Dustin","Tautou","471"
43,"Kirk","Jovovich","470"
82,"Woody","Jolie","470"
188,"Rock","Dukakis","469"
169,"Kenneth","Hoffman","468"
173,"Alan","Dreyfuss","467"
92,"Kirsten","Akroyd","466"
95,"Daryl","Wahlberg","466"
149,"Russell","Temple","465"
78,"Groucho","Sinatra","465"
133,"Richard","Penn","465"
151,"Geoffrey","Heston","462"
141,"Cate","Harris","462"
54,"Penelope","Pinkett","461"
104,"Penelope","Cronyn","461"
128,"Cate","Mcqueen","461"
15,"Cuba","Olivier","460"
192,"John","Suvari","458"
56,"Dan","Harris","458"
36,"Burt","Dukakis","456"
64,"Ray","Johansson","456"
39,"Goldie","Brody","454"
80,"Ralph","Cruz","453"
21,"Kirsten","Paltrow","452"
177,"Gene","Mckellen","451"
195,"Jayne","Silverstone","450"
137,"Morgan","Williams","450"
196,"Bela","Walken","450"
154,"Meryl","Gibson","450"
193,"Burt","Temple","444"
112,"Russell","Bacall","442"
89,"Charlize","Dench","439"
167,"Laurence","Bullock","438"
176,"Jon","Chase","435"
51,"Gary","Phoenix","435"
120,"Penelope","Monroe","434"
33,"Milla","Peck","432"
74,"Milla","Keitel","430"
79,"Mae","Hoffman","427"
72,"Sean","Williams","426"
97,"Meg","Hawke","424"
73,"Gary","Penn","423"
122,"Salma","Nolte","420"
86,"Greg","Chaplin","418"
22,"Elvis","Marx","417"
184,"Humphrey","Garland","416"
131,"Jane","Jackman","414"
165,"Al","Garland","413"
47,"Julia","Barrymore","410"
52,"Carmen","Hunt","409"
115,"Harrison","Bale","407"
175,"William","Hackman","407"
75,"Burt","Posey","404"
85,"Minnie","Zellweger","404"
67,"Jessica","Bailey","404"
68,"Rip","Winslet","404"
49,"Anne","Cronyn","402"
11,"Zero","Cage","398"
114,"Morgan","Mcdormand","396"
34,"Audrey","Olivier","394"
164,"Humphrey","Willis","394"
16,"Fred","Costner","393"
172,"Groucho","Williams","393"
174,"Michael","Bening","392"
2,"Nick","Wahlberg","387"
93,"Ellen","Presley","387"
156,"Fay","Wood","386"
126,"Frances","Tomei","385"
99,"Jim","Mostel","385"
118,"Cuba","Allen","381"
9,"Joe","Swank","381"
132,"Adam","Hopper","381"
194,"Meryl","Allen","380"
96,"Gene","Willis","380"
70,"Michelle","Mcconaughey","378"
109,"Sylvester","Dern","377"
163,"Christopher","West","377"
159,"Laura","Brody","375"
38,"Tom","Mckellen","375"
121,"Liza","Bergman","373"
61,"Christian","Neeson","372"
91,"Christopher","Berry","371"
182,"Debbie","Akroyd","370"
178,"Lisa","Monroe","368"
162,"Oprah","Kilmer","366"
166,"Nick","Degeneres","365"
138,"Lucille","Dee","364"
124,"Scarlett","Bening","363"
10,"Christian","Gable","362"
189,"Cuba","Birch","361"
25,"Kevin","Bloom","360"
98,"Chris","Bridges","359"
134,"Gene","Hopkins","359"
100,"Spencer","Depp","356"
170,"Mena","Hopper","356"
46,"Parker","Goldberg","352"
69,"Kenneth","Paltrow","351"
200,"Thora","Temple","346"
77,"Cary","Mcconaughey","343"
55,"Fay","Kilmer","336"
19,"Bob","Fawcett","334"
190,"Audrey","Bailey","333"
180,"Jeff","Silverstone","325"
32,"Tim","Hackman","324"
87,"Spencer","Peck","322"
110,"Susan","Davis","320"
24,"Cameron","Streep","318"
8,"Matthew","Johansson","317"
152,"Ben","Harris","314"
3,"Ed","Chase","311"
18,"Dan","Torn","306"
1,"Penelope","Guiness","305"
63,"Cameron","Wray","303"
183,"Russell","Close","296"
135,"Rita","Reynolds","294"
88,"Kenneth","Pesci","292"
153,"Minnie","Kilmer","291"
116,"Dan","Streep","289"
30,"Sandra","Peck","287"
160,"Chris","Depp","283"
71,"Adam","Grant","281"
6,"Bette","Nicholson","279"
4,"Jennifer","Davis","274"
199,"Julia","Fawcett","255"
35,"Judy","Dean","255"
31,"Sissy","Sobieski","235"
186,"Julia","Zellweger","221"
148,"Emily","Dee","216"
